player_name,team_name,position,position_rank,cba_id,player_rating,PO_group
Trunkát Lukáš,Hrosi-Brno,C,C,641.0,39.4,batter
Claus Filip,Hrosi-Brno,3B,3B,100.0,40.8,batter
Ondráček Jakub,Hrosi-Brno,2B,2B,484.0,42.7,batter
Claus Filip,Hrosi-Brno,1B,1B,100.0,40.8,batter
Vávra Robin,Nuclears-Trebic,SS,SS,1161.0,36.7,batter
Hlouch Lukáš,Nuclears-Trebic,SP,SP-1,797.0,41.7,starting_pitcher
Vávra Robin,Nuclears-Trebic,SP,SP-2,1161.0,37.6,starting_pitcher
Mazura Martin,Nuclears-Trebic,SP,SP-3,1216.0,36.3,starting_pitcher
Doležal Dominik,Nuclears-Trebic,RP,RP-1,802.0,36.3,relief_pitcher
Libiak Jozef,Nuclears-Trebic,RP,RP-2,365.0,37.2,relief_pitcher
Smejkal Lukáš,Nuclears-Trebic,RP,RP-3,1213.0,37.2,relief_pitcher
Křivánek Michal,Nuclears-Trebic,RF,RF,1178.0,37.2,batter
Doležal Dominik,Nuclears-Trebic,LF,LF,802.0,38.5,batter
Nuclears-Trebic-DH,Nuclears-Trebic,DH,DH,,33.8,batter
Sklenář David,Nuclears-Trebic,CF,CF,800.0,38.1,batter
Pejchal Kamil,Nuclears-Trebic,C,C,803.0,38.1,batter
Hamža Ivan,Nuclears-Trebic,3B,3B,191.0,39.0,batter
Krejčiřík Marek,Nuclears-Trebic,2B,2B,551.0,40.3,batter
Nuclears-Trebic-1B,Nuclears-Trebic,1B,1B,,33.8,batter
Olympia-Blansko-SS,Olympia-Blansko,SS,SS,,33.8,batter
Kostka Jakub,Olympia-Blansko,SP,SP-1,304.0,42.2,starting_pitcher
Havlíček Štěpán,Olympia-Blansko,SP,SP-2,810.0,39.4,starting_pitcher
Olympia-Blansko-SP-3,Olympia-Blansko,SP,SP-3,,33.8,starting_pitcher
Jelínek Tomáš,Olympia-Blansko,RP,RP-1,804.0,37.6,relief_pitcher
Hruby Jiri,Olympia-Blansko,RP,RP-2,,33.8,relief_pitcher
Farkaš David,Olympia-Blansko,RP,RP-3,792.0,35.8,relief_pitcher
Kučera Ivo,Olympia-Blansko,RF,RF,345.0,38.1,batter
Němec Jaroslav,Olympia-Blansko,LF,LF,476.0,40.3,batter
Kabeš Ladislav,Olympia-Blansko,DH,DH,842.0,39.4,batter
Farkaš David,Olympia-Blansko,CF,CF,792.0,38.1,batter
Olympia-Blansko-C,Olympia-Blansko,C,C,,33.8,batter
Šebela Ondřej,Olympia-Blansko,3B,3B,1157.0,38.1,batter
Hruby Jiri,Olympia-Blansko,2B,2B,,33.8,batter
Olympia-Blansko-1B,Olympia-Blansko,1B,1B,,33.8,batter
SABAT-Praha-SS,SABAT-Praha,SS,SS,,33.8,batter
Vavruša Jiří,SABAT-Praha,SP,SP-1,656.0,39.0,starting_pitcher
Hejtmánek Matěj,SABAT-Praha,SP,SP-2,,33.8,starting_pitcher
SABAT-Praha-SP-3,SABAT-Praha,SP,SP-3,,33.8,starting_pitcher
SABAT-Praha-RP-1,SABAT-Praha,RP,RP-1,,33.8,relief_pitcher
SABAT-Praha-RP-2,SABAT-Praha,RP,RP-2,,33.8,relief_pitcher
SABAT-Praha-RP-3,SABAT-Praha,RP,RP-3,,33.8,relief_pitcher
SABAT-Praha-RF,SABAT-Praha,RF,RF,,33.8,batter
SABAT-Praha-LF,SABAT-Praha,LF,LF,,33.8,batter
SABAT-Praha-DH,SABAT-Praha,DH,DH,,33.8,batter
SABAT-Praha-CF,SABAT-Praha,CF,CF,,33.8,batter
SABAT-Praha-C,SABAT-Praha,C,C,,33.8,batter
Tůma Jan,SABAT-Praha,3B,3B,,33.8,batter
Dupal Štěpán,SABAT-Praha,2B,2B,123.0,33.8,batter
Vítek Daniel,SABAT-Praha,1B,1B,688.0,33.8,batter
Kelar Sebastian,Technika-Brno,SS,SS,852.0,35.8,batter
Sobotka Michal,Technika-Brno,SP,SP-1,604.0,39.0,starting_pitcher
Střítecký Martin,Technika-Brno,SP,SP-2,618.0,37.2,starting_pitcher
Bláha Vojtěch,Technika-Brno,SP,SP-3,1166.0,36.7,starting_pitcher
Střítecký Martin,Technika-Brno,RP,RP-1,618.0,37.2,relief_pitcher
Kočí Michal,Technika-Brno,RP,RP-2,315.0,37.2,relief_pitcher
Regner Martin,Technika-Brno,RP,RP-3,1164.0,37.6,relief_pitcher
Menšík Matěj,Technika-Brno,RF,RF,416.0,41.3,batter
Střítecký Martin,Technika-Brno,LF,LF,618.0,36.3,batter
Kočí Michal,Technika-Brno,DH,DH,315.0,37.2,batter
Sázavský Richard,Technika-Brno,CF,CF,624.0,39.4,batter
Gottschall Mário,Technika-Brno,C,C,850.0,40.3,batter
Berg Ryan,Technika-Brno,3B,3B,30.0,39.9,batter
Kelar Sebastian,Technika-Brno,2B,2B,852.0,35.8,batter
Budský Pavel,Technika-Brno,1B,1B,62.0,40.8,batter
Nevěřil David,Tempo-Praha,SS,SS,465.0,39.4,batter
Rabinowitz Jake,Tempo-Praha,SP,SP-1,547.0,47.0,starting_pitcher
Minařík Marek,Tempo-Praha,SP,SP-2,424.0,39.9,starting_pitcher
Nevěřil David,Tempo-Praha,SP,SP-3,465.0,38.1,starting_pitcher
Vohánka David,Tempo-Praha,RP,RP-1,671.0,38.1,relief_pitcher
Vrubel Adam,Tempo-Praha,RP,RP-2,678.0,35.8,relief_pitcher
Čuhel Lubomír,Tempo-Praha,RP,RP-3,770.0,37.2,relief_pitcher
Šusta Petr,Tempo-Praha,RF,RF,745.0,39.0,batter
Nepomucký Aleš,Tempo-Praha,LF,LF,828.0,37.2,batter
Minařík Marek,Tempo-Praha,DH,DH,424.0,39.9,batter
Bečka Vojtěch,Tempo-Praha,CF,CF,825.0,37.2,batter
Zelenka Martin,Tempo-Praha,C,C,712.0,38.1,batter
Rabinowitz Jake,Tempo-Praha,3B,3B,547.0,43.2,batter
Vohánka David,Tempo-Praha,2B,2B,671.0,40.3,batter
Rejman Marek,Tempo-Praha,1B,1B,556.0,38.1,batter
