player_name,team_name,position,player_rating,PO_group
Mike Trout,los-angeles-angels,CF,95.0,batter
Andrelton Simmons,los-angeles-angels,SS,90.0,batter
Shohei Ohtani,los-angeles-angels,DH,81.0,batter
Justin Upton,los-angeles-angels,LF,84.0,batter
Zack Cozart,los-angeles-angels,3B,79.0,batter
Jabari Blash,los-angeles-angels,RF,79.0,batter
David Fletcher,los-angeles-angels,2B,79.0,batter
Justin Bour,los-angeles-angels,1B,78.0,batter
Jonathan Lucroy,los-angeles-angels,C,77.0,batter
Andrew Heaney,los-angeles-angels,SP,87.0,starting_pitcher
Tyler Skaggs,los-angeles-angels,SP,81.0,starting_pitcher
Jose Suarez,los-angeles-angels,SP,80.0,starting_pitcher
Jaime Barria,los-angeles-angels,SP,80.0,starting_pitcher
Griffin Canning,los-angeles-angels,SP,79.0,starting_pitcher
Cody Allen,los-angeles-angels,RP,78.0,relief_pitcher
Ty Buttrey,los-angeles-angels,RP,77.0,relief_pitcher
Cam Bedrosian,los-angeles-angels,RP,76.0,relief_pitcher
Luis Garcia,los-angeles-angels,RP,76.0,relief_pitcher
Justin Anderson,los-angeles-angels,RP,76.0,relief_pitcher
Taylor Cole,los-angeles-angels,RP,75.0,relief_pitcher
Noe Ramirez,los-angeles-angels,RP,75.0,relief_pitcher
Kevin Kiermaier,tampa-bay-rays,CF,85.0,batter
Tommy Pham,tampa-bay-rays,LF,86.0,batter
Joey Wendle,tampa-bay-rays,2B,82.0,batter
Matt M. Duffy,tampa-bay-rays,3B,81.0,batter
Nathaniel Lowe,tampa-bay-rays,1B,79.0,batter
Willy Adames,tampa-bay-rays,SS,79.0,batter
Mike Zunino,tampa-bay-rays,C,78.0,batter
Avisail Garcia,tampa-bay-rays,RF,77.0,batter
Blake Snell,tampa-bay-rays,SP,91.0,starting_pitcher
Charlie Morton,tampa-bay-rays,SP,86.0,starting_pitcher
Tyler Glasnow,tampa-bay-rays,SP,84.0,starting_pitcher
Brent Honeywell,tampa-bay-rays,SP,79.0,starting_pitcher
Yonny Chirinos,tampa-bay-rays,SP,80.0,starting_pitcher
Diego Castillo,tampa-bay-rays,RP,80.0,relief_pitcher
Jose Alvarado,tampa-bay-rays,RP,79.0,relief_pitcher
Colin Poche,tampa-bay-rays,RP,78.0,relief_pitcher
Curtis Taylor,tampa-bay-rays,RP,76.0,relief_pitcher
Travis Ott,tampa-bay-rays,RP,76.0,relief_pitcher
Adam Kolarek,tampa-bay-rays,RP,76.0,relief_pitcher
Andrew Kittredge,tampa-bay-rays,RP,75.0,relief_pitcher
Nelson Cruz,minnesota-twins,DH,86.0,batter
Max Kepler,minnesota-twins,RF,84.0,batter
Eddie Rosario,minnesota-twins,LF,84.0,batter
Willians Astudillo,minnesota-twins,C,81.0,batter
Jonathan Schoop,minnesota-twins,2B,83.0,batter
Byron Buxton,minnesota-twins,CF,81.0,batter
Miguel Sano,minnesota-twins,3B,81.0,batter
C.J. Cron,minnesota-twins,1B,80.0,batter
Jorge Polanco,minnesota-twins,SS,78.0,batter
Jose Berrios,minnesota-twins,SP,89.0,starting_pitcher
Kyle Gibson,minnesota-twins,SP,84.0,starting_pitcher
Jake Odorizzi,minnesota-twins,SP,82.0,starting_pitcher
Zack Littell,minnesota-twins,SP,80.0,starting_pitcher
Martin Perez,minnesota-twins,SP,80.0,starting_pitcher
Taylor Rogers,minnesota-twins,RP,78.0,relief_pitcher
Andrew Vasquez,minnesota-twins,RP,77.0,relief_pitcher
Gabriel Moya,minnesota-twins,RP,76.0,relief_pitcher
Trevor Hildenberger,minnesota-twins,RP,76.0,relief_pitcher
Cody Stashak,minnesota-twins,RP,75.0,relief_pitcher
Blake Parker,minnesota-twins,RP,76.0,relief_pitcher
Addison Reed,minnesota-twins,RP,76.0,relief_pitcher
Alex Bregman,houston-astros,3B,92.0,batter
Jose Altuve,houston-astros,2B,92.0,batter
Carlos Correa,houston-astros,SS,89.0,batter
George Springer,houston-astros,CF,89.0,batter
Kyle Tucker,houston-astros,RF,88.0,batter
Michael Brantley,houston-astros,LF,84.0,batter
Tyler White,houston-astros,DH,82.0,batter
Robinson Chirinos,houston-astros,C,78.0,batter
A.J. Reed,houston-astros,1B,79.0,batter
Justin Verlander,houston-astros,SP,92.0,starting_pitcher
Gerrit Cole,houston-astros,SP,91.0,starting_pitcher
Dallas Keuchel,houston-astros,SP,90.0,starting_pitcher
Lance McCullers,houston-astros,SP,86.0,starting_pitcher
Collin McHugh,houston-astros,SP,86.0,starting_pitcher
Ryan Pressly,houston-astros,RP,78.0,relief_pitcher
Roberto Osuna,houston-astros,RP,78.0,relief_pitcher
Chris Devenski,houston-astros,RP,78.0,relief_pitcher
Will Harris,houston-astros,RP,77.0,relief_pitcher
Joe Smith,houston-astros,RP,76.0,relief_pitcher
Hector Rondon,houston-astros,RP,76.0,relief_pitcher
Dean Deetz,houston-astros,RP,75.0,relief_pitcher
