player_name,team_name,position,player_rating,PO_group
Josh Lindblom,Doosan-Bears,SP,67,starting_pitcher
Seth Frankoff,Doosan-Bears,SP,62,starting_pitcher
Lee Young-ha,Doosan-Bears,SP,55,starting_pitcher
Yu Hui-kwan,Doosan-Bears,SP,55,starting_pitcher
Lee Yong-chan,Doosan-Bears,SP,61,starting_pitcher
Kim Seung-hui,Doosan-Bears,RP,53,relief_pitcher
Ham Duk-joo,Doosan-Bears,RP,58,relief_pitcher
Yoon Myung-jun,Doosan-Bears,RP,55,relief_pitcher
Lee Hyun-seung,Doosan-Bears,RP,54,relief_pitcher
Park Chi-guk,Doosan-Bears,RP,57,relief_pitcher
Kwon Hyuk,Doosan-Bears,RP,54,relief_pitcher
Lee Hyung-bum,Doosan-Bears,RP,54,relief_pitcher
Warwick Saupold,Hanwha-Eagles,SP,70,starting_pitcher
Chad Bell,Hanwha-Eagles,SP,71,starting_pitcher
Jang Min-jae,Hanwha-Eagles,SP,54,starting_pitcher
Jang Shi-hwan,Hanwha-Eagles,SP,54,starting_pitcher
Kim Bum-soo,Hanwha-Eagles,SP,55,starting_pitcher
Jung Woo-ram,Hanwha-Eagles,RP,56,relief_pitcher
Kim Min-woo,Hanwha-Eagles,RP,54,relief_pitcher
Park Sang-won,Hanwha-Eagles,RP,56,relief_pitcher
Lee Tae-yang,Hanwha-Eagles,RP,56,relief_pitcher
Ahn Young-myung,Hanwha-Eagles,RP,55,relief_pitcher
Im Joon-seop,Hanwha-Eagles,RP,53,relief_pitcher
Shin Jung-rak,Hanwha-Eagles,RP,55,relief_pitcher
Yang Hyun-jong,Kia-Tigers,SP,65,starting_pitcher
Jacob Turner,Kia-Tigers,SP,70,starting_pitcher
Joe Wieland,Kia-Tigers,SP,74,starting_pitcher
Lee Min-woo,Kia-Tigers,SP,53,starting_pitcher
Im Ki-young,Kia-Tigers,SP,54,starting_pitcher
Moon Kyung-chan,Kia-Tigers,RP,54,relief_pitcher
Lee Joon-young,Kia-Tigers,RP,55,relief_pitcher
Ha Joon-young,Kia-Tigers,RP,53,relief_pitcher
Ko Young-chang,Kia-Tigers,RP,53,relief_pitcher
Park Joon-pyo,Kia-Tigers,RP,53,relief_pitcher
Jeon Sang-hyun,Kia-Tigers,RP,53,relief_pitcher
Im Ki-jun,Kia-Tigers,RP,55,relief_pitcher
Eric Jokisch,Kiwoom-Heroes,SP,71,starting_pitcher
Jake Brigham,Kiwoom-Heroes,SP,66,starting_pitcher
Choi Won-tae,Kiwoom-Heroes,SP,63,starting_pitcher
Lee Seung-ho,Kiwoom-Heroes,SP,53,starting_pitcher
