team_name,batter_rating,sp_rating,rp_rating,proj_win_pct,actual_win_pct
houston-astros,86.0,89.0,77.0,0.58,0.66
los-angeles-dodgers,83.0,85.0,78.0,0.527,0.654
new-york-yankees,84.0,88.0,78.0,0.564,0.636
minnesota-twins,82.0,83.0,76.0,0.477,0.623
atlanta-braves,86.0,84.0,78.0,0.545,0.599
oakland-athletics,84.0,80.0,79.0,0.5,0.599
tampa-bay-rays,81.0,84.0,77.0,0.488,0.593
cleveland-indians,83.0,91.0,78.0,0.582,0.574
washington-nationals,87.0,85.0,76.0,0.541,0.574
st-louis-cardinals,86.0,85.0,77.0,0.543,0.562
milwaukee-brewers,84.0,83.0,78.0,0.517,0.549
new-york-mets,83.0,85.0,78.0,0.527,0.531
arizona-diamondbacks,81.0,86.0,78.0,0.518,0.525
chicago-cubs,84.0,88.0,77.0,0.553,0.519
boston-red-sox,85.0,87.0,77.0,0.552,0.519
philadelphia-phillies,83.0,83.0,78.0,0.508,0.5
texas-rangers,78.0,80.0,77.0,0.424,0.481
san-francisco-giants,83.0,80.0,76.0,0.459,0.475
cincinnati-reds,84.0,83.0,77.0,0.506,0.463
los-angeles-angels,82.0,81.0,76.0,0.459,0.444
boston-red-sox,85.0,87.0,77.0,0.552,0.444
colorado-rockies,83.0,86.0,76.0,0.514,0.438
san-diego-padres,85.0,79.0,75.0,0.456,0.432
pittsburgh-pirates,83.0,84.0,77.0,0.506,0.426
seattle-mariners,82.0,80.0,77.0,0.46,0.42
toronto-blue-jays,81.0,80.0,76.0,0.44,0.414
kansas-city-royals,81.0,81.0,76.0,0.45,0.364
miami-marlins,81.0,79.0,76.0,0.431,0.352
baltimore-orioles,77.0,78.0,77.0,0.397,0.333
detroit-tigers,78.0,81.0,76.0,0.423,0.29
