player_name,team_name,position,player_rating,PO_group
Oh Jae-il,Doosan-Bears,1B,65.0,batter
Oh Sun-jin,Hanwha-Eagles,SS,59.0,batter
Jared Hoying,Hanwha-Eagles,RF,64.0,batter
Choi Jin-haeng,Hanwha-Eagles,LF,60.0,batter
Kim Tae-kyun,Hanwha-Eagles,DH,62.0,batter
Jang Jin-hyuk,Hanwha-Eagles,CF,59.0,batter
Choi Jae-hoon,Hanwha-Eagles,C,61.0,batter
Song Kwang-min,Hanwha-Eagles,3B,61.0,batter
Jung Eun-won,Hanwha-Eagles,2B,59.0,batter
Kang Kyung-hak,Hanwha-Eagles,1B,59.0,batter
Kim Sun-bin,Kia-Tigers,SS,65.0,batter
Preston Tucker,Kia-Tigers,RF,65.0,batter
Lee Woo-sung,Kia-Tigers,LF,57.0,batter
Choi Hyung-woo,Kia-Tigers,DH,71.0,batter
Lee Chang-jin,Kia-Tigers,CF,58.0,batter
Han Joon-soo,Kia-Tigers,C,56.0,batter
Park Chan-ho,Kia-Tigers,3B,58.0,batter
Na Joo-hwan,Kia-Tigers,2B,61.0,batter
Yoo Min-sang,Kia-Tigers,1B,58.0,batter
Kim Ha-seong,Kiwoom-Heroes,SS,68.0,batter
Park Jeong-eum,Kiwoom-Heroes,RF,57.0,batter
Lee Jung-hoo,Kiwoom-Heroes,LF,65.0,batter
Seo Keon-chang,Kiwoom-Heroes,DH,62.0,batter
Lim Byeong-wuk,Kiwoom-Heroes,CF,59.0,batter
Park Dong-won,Kiwoom-Heroes,C,62.0,batter
Taylor Motter,Kiwoom-Heroes,3B,68.0,batter
Kim Hye-sung,Kiwoom-Heroes,2B,59.0,batter
Park Byung-ho,Kiwoom-Heroes,1B,76.0,batter
Sim Woo-jun,KT-Wiz,SS,60.0,batter
Kim Min-hyeok,KT-Wiz,RF,58.0,batter
Mel Rojas Jr.,KT-Wiz,LF,68.0,batter
Yoo Han-joon,KT-Wiz,DH,64.0,batter
Kim Min-hyeok,KT-Wiz,CF,58.0,batter
Jang Sung-woo,KT-Wiz,C,61.0,batter
Hwang Jae-gyun,KT-Wiz,3B,67.0,batter
Park Kyung-soo,KT-Wiz,2B,62.0,batter
Kang Baek-ho,KT-Wiz,1B,65.0,batter
Oh Ji-hwan,LG-Twins,SS,62.0,batter
Chae Eun-sung,LG-Twins,RF,62.0,batter
Kim Hyun-soo,LG-Twins,LF,68.0,batter
Park Yong-taik,LG-Twins,DH,61.0,batter
Lee Chun-woong,LG-Twins,CF,62.0,batter
Yoo Kang-nam,LG-Twins,C,65.0,batter
Roberto Ramos,LG-Twins,3B,55.0,batter
Jung Ju-hyeon,LG-Twins,2B,58.0,batter
Jeong Keun-woo,LG-Twins,1B,63.0,batter
Dixon Machado,Lotte-Giants,SS,69.0,batter
Son Ah-seop,Lotte-Giants,RF,67.0,batter
Jeon Jun-woo,Lotte-Giants,LF,67.0,batter
Lee Dae-ho,Lotte-Giants,DH,64.0,batter
Min Byung-hun,Lotte-Giants,CF,64.0,batter
Na Jong-deok,Lotte-Giants,C,57.0,batter
Kim Min-soo,Lotte-Giants,3B,56.0,batter
An Chi-hong,Lotte-Giants,2B,67.0,batter
Han Dong-hee,Lotte-Giants,1B,59.0,batter
Kim Chan-hyung,NC-Dinos,SS,66.0,batter
Aaron Altherr,NC-Dinos,RF,70.0,batter
Lee Myung-gi,NC-Dinos,LF,60.0,batter
Park Suk-min,NC-Dinos,DH,64.0,batter
Kim Sung-wook,NC-Dinos,CF,61.0,batter
Yang Eui-ji,NC-Dinos,C,71.0,batter
Ji Suk-hoon,NC-Dinos,3B,59.0,batter
Park Min-woo,NC-Dinos,2B,67.0,batter
Mo Chang-min,NC-Dinos,1B,62.0,batter
Lee Hak-ju,Samsung-Lions,SS,63.0,batter
Lee Sung-gon,Samsung-Lions,RF,56.0,batter
Koo Ja-wook,Samsung-Lions,RF,64.0,batter
Kim Heon-gon,Samsung-Lions,LF,60.0,batter
Kim Dong-yeop,Samsung-Lions,DH,59.0,batter
Park Hae-min,Samsung-Lions,CF,58.0,batter
Kang Min-ho,Samsung-Lions,C,64.0,batter
Lee Won-seok,Samsung-Lions,3B,63.0,batter
Tyler Saladino,Samsung-Lions,SS,71.0,batter
Choi Young-jin,Samsung-Lions,1B,58.0,batter
Han Dong-min,SK-Wyverns,RF,65.0,batter
Noh Soo-kwang,SK-Wyverns,LF,61.0,batter
Chae Tae-in,SK-Wyverns,DH,61.0,batter
Kim Kang-min,SK-Wyverns,CF,61.0,batter
Lee Jae-won,SK-Wyverns,C,64.0,batter
Choi Jeong,SK-Wyverns,3B,72.0,batter
Choi Joon-woo,SK-Wyverns,2B,56.0,batter
Jamie Romak,SK-Wyverns,1B,66.0,batter
